Mode,Date,Time,RTT,CPU,RAM,Latency,LossRate,Throughput,SuccessRate
DDoS,2025-05-13,14:29:30,0.6326823234558105,43.8,79.5,0.3163411617279053,100.0,15.805720547680902,0.0
Normal,2025-05-13,14:29:30,0.5825502872467041,47.2,79.5,0.291275143623352,0.0,171.6590004145874,100.0
Normal,2025-05-13,14:29:32,0.2290174961090088,36.5,79.2,0.1145087480545044,0.0,436.64786184022176,100.0
DDoS,2025-05-13,14:29:33,0.2206401824951172,41.2,79.2,0.1103200912475586,100.0,45.32266011981432,0.0
Normal,2025-05-13,14:29:33,0.2750899791717529,100.0,79.2,0.1375449895858764,0.0,363.5174218307851,100.0
DDoS,2025-05-13,14:29:33,0.246713638305664,51.0,79.2,0.123356819152832,100.0,40.53282205506034,0.0
Normal,2025-05-13,14:29:34,0.2376105785369873,43.8,79.2,0.1188052892684936,0.0,420.8566832997027,100.0
DDoS,2025-05-13,14:29:34,0.2757637500762939,21.7,79.2,0.1378818750381469,100.0,36.26292432284286,0.0
DDoS,2025-05-13,14:29:34,0.4288547039031982,62.7,79.2,0.2144273519515991,100.0,23.317920752612796,0.0
Normal,2025-05-13,14:29:35,0.656893253326416,46.4,79.2,0.328446626663208,0.0,152.23173551199363,100.0
Normal,2025-05-13,14:29:35,0.7058029174804688,52.2,79.2,0.3529014587402344,0.0,141.68261071656343,100.0
DDoS,2025-05-13,14:29:35,0.7080373764038086,47.4,79.2,0.3540186882019043,100.0,14.123548181581857,0.0
Normal,2025-05-13,14:29:37,0.3327522277832031,100.0,79.3,0.1663761138916015,0.0,300.5239083332378,100.0
DDoS,2025-05-13,14:29:37,0.2886998653411865,61.2,79.3,0.1443499326705932,100.0,34.63804871603236,0.0
Normal,2025-05-13,14:29:37,0.2830817699432373,61.2,79.3,0.1415408849716186,0.0,353.2548211071723,100.0
DDoS,2025-05-13,14:29:37,0.2847857475280761,100.0,79.4,0.142392873764038,100.0,35.114116794114246,0.0
Normal,2025-05-13,14:29:38,0.4088876247406006,48.2,79.4,0.2044438123703003,0.0,244.56597350785628,100.0
DDoS,2025-05-13,14:29:38,0.3462903499603271,44.0,79.4,0.1731451749801635,100.0,28.877501210026946,0.0
DDoS,2025-05-13,14:29:39,0.3038239479064941,66.7,79.4,0.151911973953247,100.0,32.91379783886435,0.0
DDoS,2025-05-13,14:29:39,0.2881414890289306,42.9,79.4,0.1440707445144653,100.0,34.705172218347066,0.0
Normal,2025-05-13,14:29:39,0.515836238861084,55.6,79.6,0.257918119430542,0.0,193.8599742832924,100.0
Normal,2025-05-13,14:29:39,0.5206403732299805,52.9,79.6,0.2603201866149902,0.0,192.07115917579327,100.0
Normal,2025-05-13,14:29:42,0.3414950370788574,53.1,79.4,0.1707475185394287,0.0,292.83002428204594,100.0
DDoS,2025-05-13,14:29:42,0.3596644401550293,100.0,79.2,0.1798322200775146,100.0,27.80369389781657,0.0
Normal,2025-05-13,14:29:42,0.3781602382659912,55.6,79.2,0.1890801191329956,0.0,264.43816636708846,100.0
DDoS,2025-05-13,14:29:42,0.3749318122863769,30.8,79.2,0.1874659061431884,100.0,26.671516452602035,0.0
DDoS,2025-05-13,14:29:43,0.4317035675048828,41.2,79.4,0.2158517837524414,100.0,23.16404299783067,0.0
Normal,2025-05-13,14:29:43,0.3784689903259277,43.9,79.4,0.1892344951629638,0.0,264.22243976681574,100.0
DDoS,2025-05-13,14:29:43,0.3334484100341797,100.0,79.4,0.1667242050170898,100.0,29.98964667120459,0.0
DDoS,2025-05-13,14:29:43,0.3092029094696045,29.4,79.4,0.1546014547348022,100.0,32.34122219986105,0.0
Normal,2025-05-13,14:29:44,0.6171419620513916,77.2,79.4,0.3085709810256958,0.0,162.03727205260537,100.0
Normal,2025-05-13,14:29:44,0.6151912212371826,70.2,79.4,0.3075956106185913,0.0,162.55108419605634,100.0
Normal,2025-05-13,14:29:46,0.402456521987915,76.6,79.3,0.2012282609939575,0.0,248.47404511189112,100.0
DDoS,2025-05-13,14:29:46,0.5803611278533936,44.6,79.3,0.2901805639266968,100.0,17.23065091727874,0.0
Normal,2025-05-13,14:29:47,0.4877841472625732,100.0,79.2,0.2438920736312866,0.0,205.00871248316767,100.0
DDoS,2025-05-13,14:29:47,0.5931367874145508,38.8,79.4,0.2965683937072754,100.0,16.859517420238635,0.0
DDoS,2025-05-13,14:29:47,0.3501231670379638,75.9,79.3,0.1750615835189819,100.0,28.56137765632544,0.0
Normal,2025-05-13,14:29:48,0.4809420108795166,92.0,79.4,0.2404710054397583,0.0,207.92527526785665,100.0
DDoS,2025-05-13,14:29:48,0.4326412677764892,88.9,79.3,0.2163206338882446,100.0,23.11383759435124,0.0
DDoS,2025-05-13,14:29:48,0.3338797092437744,33.3,79.3,0.1669398546218872,100.0,29.950906638350805,0.0
Normal,2025-05-13,14:29:49,0.79429030418396,34.7,79.4,0.39714515209198,0.0,125.89855305200818,100.0
Normal,2025-05-13,14:29:49,0.8055269718170166,37.5,79.4,0.4027634859085083,0.0,124.14233600947132,100.0
Normal,2025-05-13,14:29:51,0.5383100509643555,61.1,79.3,0.2691550254821777,0.0,185.76654814610092,100.0
DDoS,2025-05-13,14:29:51,0.423689603805542,48.2,79.4,0.211844801902771,100.0,23.602184028545658,0.0
Normal,2025-05-13,14:29:52,0.7355108261108398,47.9,79.7,0.3677554130554199,0.0,135.95992941228334,100.0
DDoS,2025-05-13,14:29:52,0.6689817905426025,54.4,79.8,0.3344908952713012,100.0,14.94808997998156,0.0
DDoS,2025-05-13,14:29:52,0.3402678966522217,58.0,79.9,0.1701339483261108,100.0,29.38860850049783,0.0
Normal,2025-05-13,14:29:52,0.5031635761260986,64.9,80.2,0.2515817880630493,0.0,198.7425257804012,100.0
DDoS,2025-05-13,14:29:53,0.6833529472351074,67.2,80.4,0.3416764736175537,100.0,14.63372630565315,0.0
DDoS,2025-05-13,14:29:53,0.4639983177185058,70.2,80.4,0.2319991588592529,100.0,21.551802276289084,0.0
Normal,2025-05-13,14:29:54,0.5525350570678711,100.0,79.5,0.2762675285339355,0.0,180.9839913700108,100.0
Normal,2025-05-13,14:29:54,0.7303023338317871,77.8,79.4,0.3651511669158935,0.0,136.92959116714712,100.0
Normal,2025-05-13,14:29:56,0.7005212306976318,62.5,79.5,0.3502606153488159,0.0,142.75084839386304,100.0
DDoS,2025-05-13,14:29:56,0.6931836605072021,62.5,79.5,0.3465918302536011,100.0,14.426191166541642,0.0
DDoS,2025-05-13,14:29:57,0.7472538948059082,44.0,79.5,0.3736269474029541,100.0,13.38233238998025,0.0
Normal,2025-05-13,14:29:57,1.2599694728851318,100.0,79.5,0.6299847364425659,0.0,79.36700225840848,100.0
DDoS,2025-05-13,14:29:57,1.3927009105682373,68.0,79.7,0.6963504552841187,100.0,7.180292569723308,0.0
Normal,2025-05-13,14:29:58,1.14072847366333,83.9,79.8,0.570364236831665,0.0,87.66328035878729,100.0
DDoS,2025-05-13,14:29:58,0.8971681594848633,83.9,79.9,0.4485840797424316,100.0,11.146182456744572,0.0
DDoS,2025-05-13,14:29:58,0.8956584930419922,82.8,79.8,0.4478292465209961,100.0,11.164969771052188,0.0
Normal,2025-05-13,14:29:59,0.5190284252166748,31.4,79.4,0.2595142126083374,0.0,192.66767510518093,100.0
Normal,2025-05-13,14:29:59,0.5764813423156738,65.3,79.5,0.2882406711578369,0.0,173.4661517375549,100.0
Normal,2025-05-13,14:30:01,0.6596684455871582,54.2,79.4,0.3298342227935791,0.0,151.59130419068617,100.0
DDoS,2025-05-13,14:30:01,0.7137494087219238,57.4,79.4,0.3568747043609619,100.0,14.010519487373742,0.0
DDoS,2025-05-13,14:30:01,0.5221371650695801,74.0,79.5,0.26106858253479,100.0,19.152055568899023,0.0
Normal,2025-05-13,14:30:02,0.404634952545166,51.7,79.8,0.202317476272583,0.0,247.13633701438047,100.0
DDoS,2025-05-13,14:30:02,0.4898808002471924,82.7,79.6,0.2449404001235962,100.0,20.41312906109819,0.0
DDoS,2025-05-13,14:30:03,0.6971423625946045,100.0,79.5,0.3485711812973022,100.0,14.34427247080824,0.0
DDoS,2025-05-13,14:30:03,1.1304738521575928,52.6,79.8,0.5652369260787964,100.0,8.845848120161525,0.0
Normal,2025-05-13,14:30:03,1.0770199298858645,52.6,79.7,0.5385099649429321,0.0,92.8487925108288,100.0
Normal,2025-05-13,14:30:04,0.7417292594909668,100.0,79.9,0.3708646297454834,0.0,134.8200825576544,100.0
Normal,2025-05-13,14:30:04,0.6304526329040527,100.0,79.8,0.3152263164520263,0.0,158.6161985546324,100.0
Normal,2025-05-13,14:30:06,0.7030785083770752,82.1,79.8,0.3515392541885376,0.0,142.23162677925006,100.0
DDoS,2025-05-13,14:30:06,0.7655296325683594,85.4,79.8,0.3827648162841797,100.0,13.06285161875433,0.0
DDoS,2025-05-13,14:30:06,0.5746617317199707,100.0,79.9,0.2873308658599853,100.0,17.401541547006893,0.0
Normal,2025-05-13,14:30:06,0.4527027606964111,58.9,79.8,0.2263513803482055,0.0,220.8954940901308,100.0
DDoS,2025-05-13,14:30:07,0.4204485416412353,61.5,79.6,0.2102242708206176,100.0,23.78412340536289,0.0
DDoS,2025-05-13,14:30:07,0.4671590328216553,85.4,79.8,0.2335795164108276,100.0,21.40598660717248,0.0
Normal,2025-05-13,14:30:08,0.8959641456604004,57.1,79.7,0.4479820728302002,0.0,111.6116091077413,100.0
DDoS,2025-05-13,14:30:08,1.0323889255523682,53.1,79.7,0.5161944627761841,100.0,9.686272055513976,0.0
Normal,2025-05-13,14:30:09,0.6582911014556885,63.2,79.8,0.3291455507278442,0.0,151.9084790586848,100.0
Normal,2025-05-13,14:30:09,0.8255445957183838,93.8,79.8,0.4127722978591919,0.0,121.13215993253596,100.0
DDoS,2025-05-13,14:30:11,0.9537019729614258,57.7,78.4,0.4768509864807129,100.0,10.485455921778268,0.0
Normal,2025-05-13,14:30:11,1.1804821491241455,98.2,78.3,0.5902410745620728,0.0,84.7111496554138,100.0
DDoS,2025-05-13,14:30:11,1.164985418319702,100.0,78.0,0.5824927091598511,100.0,8.583798425926513,0.0
DDoS,2025-05-13,14:30:12,1.2632551193237305,100.0,77.9,0.6316275596618652,100.0,7.916057371968845,0.0
Normal,2025-05-13,14:30:12,1.575761079788208,100.0,77.9,0.787880539894104,0.0,63.461397341683686,100.0
DDoS,2025-05-13,14:30:12,0.9495463371276855,89.6,77.8,0.4747731685638428,100.0,10.531344926514418,0.0
Normal,2025-05-13,14:30:13,0.8842847347259521,78.0,77.7,0.4421423673629761,0.0,113.0857472406678,100.0
DDoS,2025-05-13,14:30:13,1.1198148727416992,89.8,77.7,0.5599074363708496,100.0,8.93004749572266,0.0
Normal,2025-05-13,14:30:14,1.012174367904663,100.0,77.8,0.5060871839523315,0.0,98.79720646059576,100.0
Normal,2025-05-13,14:30:14,1.0424261093139648,100.0,77.9,0.5212130546569824,0.0,95.93006075587591,100.0
DDoS,2025-05-13,14:30:16,0.6935079097747803,100.0,78.0,0.3467539548873901,100.0,14.419446208259606,0.0
Normal,2025-05-13,14:30:17,1.1438968181610107,100.0,77.6,0.5719484090805054,0.0,87.42047220724446,100.0
DDoS,2025-05-13,14:30:17,1.0691313743591309,100.0,77.6,0.5345656871795654,100.0,9.353387469331633,0.0
DDoS,2025-05-13,14:30:17,0.6433827877044678,93.8,77.9,0.3216913938522339,100.0,15.542846639834904,0.0
DDoS,2025-05-13,14:30:18,1.3214521408081057,77.6,78.1,0.6607260704040527,100.0,7.567432592666365,0.0
Normal,2025-05-13,14:30:18,1.342088222503662,80.7,78.1,0.671044111251831,0.0,74.51074998143584,100.0
Normal,2025-05-13,14:30:18,0.8376896381378174,100.0,78.0,0.4188448190689087,0.0,119.37595434784156,100.0
DDoS,2025-05-13,14:30:19,1.441150426864624,96.6,77.8,0.720575213432312,100.0,6.938900904158952,0.0
Normal,2025-05-13,14:30:19,1.193082332611084,71.4,77.9,0.596541166305542,0.0,83.81651229479532,100.0
Normal,2025-05-13,14:30:19,1.2279908657073977,74.0,78.0,0.6139954328536987,0.0,81.43383048895393,100.0
DDoS,2025-05-13,14:30:21,0.9683806896209716,100.0,77.8,0.4841903448104858,100.0,10.326517357459949,0.0
DDoS,2025-05-13,14:30:22,0.8338971138000488,81.2,77.9,0.4169485569000244,100.0,11.991887049986593,0.0
Normal,2025-05-13,14:30:22,1.6951501369476318,100.0,78.1,0.8475750684738159,0.0,58.99182486576957,100.0
Normal,2025-05-13,14:30:23,1.4852395057678225,100.0,78.2,0.7426197528839111,0.0,67.3292082601204,100.0
Normal,2025-05-13,14:30:24,1.0931787490844729,96.5,77.8,0.5465893745422363,0.0,91.47634829505157,100.0
DDoS,2025-05-13,14:30:25,1.7918546199798584,100.0,78.2,0.8959273099899292,100.0,5.580809898580057,0.0
Normal,2025-05-13,14:30:25,1.6058683395385742,100.0,78.2,0.8029341697692871,0.0,62.27160567144236,100.0
Normal,2025-05-13,14:30:25,1.4664185047149658,95.9,78.0,0.7332092523574829,0.0,68.1933565884982,100.0
DDoS,2025-05-13,14:30:26,0.9227972030639648,65.3,78.2,0.4613986015319824,100.0,10.836617153581509,0.0
DDoS,2025-05-13,14:30:26,0.7004220485687256,100.0,78.2,0.3502110242843628,100.0,14.277106239637169,0.0
DDoS,2025-05-13,14:30:27,0.8682587146759033,60.7,78.3,0.4341293573379516,100.0,11.51730449804091,0.0
Normal,2025-05-13,14:30:28,1.2257845401763916,98.0,78.2,0.6128922700881958,0.0,81.58040562790089,100.0
DDoS,2025-05-13,14:30:29,1.2531700134277344,100.0,78.3,0.6265850067138672,100.0,7.979763234716645,0.0
Normal,2025-05-13,14:30:29,1.1996266841888428,96.5,78.2,0.5998133420944214,0.0,83.35926611003778,100.0
Normal,2025-05-13,14:30:29,1.4084813594818115,64.3,78.5,0.7042406797409058,0.0,70.99845470215564,100.0
DDoS,2025-05-13,14:30:30,1.2637898921966553,47.9,78.3,0.6318949460983276,100.0,7.912707691164161,0.0
Normal,2025-05-13,14:30:31,1.849928855895996,100.0,77.9,0.924964427947998,0.0,54.056132851425744,100.0
Normal,2025-05-13,14:30:31,1.9945659637451167,100.0,77.9,0.9972829818725586,0.0,50.136221021356434,100.0
DDoS,2025-05-13,14:30:32,1.5547797679901123,56.2,78.2,0.7773898839950562,100.0,6.431779089154957,0.0
DDoS,2025-05-13,14:30:32,2.0585877895355225,55.4,78.2,1.0292938947677612,100.0,4.857699074498199,0.0
DDoS,2025-05-13,14:30:32,0.7518644332885742,64.6,78.4,0.3759322166442871,100.0,13.300270045041332,0.0
Normal,2025-05-13,14:30:33,0.8844795227050781,83.7,78.3,0.442239761352539,0.0,113.06084248752484,100.0
DDoS,2025-05-13,14:30:34,1.410181999206543,100.0,78.4,0.7050909996032715,100.0,7.091283256789995,0.0
Normal,2025-05-13,14:30:35,1.5135116577148438,94.6,78.7,0.7567558288574219,0.0,66.07150958518795,100.0
Normal,2025-05-13,14:30:35,1.5271611213684082,93.9,78.5,0.7635805606842041,0.0,65.48097551776023,100.0
DDoS,2025-05-13,14:30:35,0.768303394317627,32.7,78.7,0.3841516971588135,100.0,13.015691553571171,0.0
Normal,2025-05-13,14:30:37,1.405280828475952,43.1,78.5,0.7026404142379761,0.0,71.16015388073819,100.0
Normal,2025-05-13,14:30:37,1.3989927768707275,46.4,78.5,0.6994963884353638,0.0,71.47999736187373,100.0
DDoS,2025-05-13,14:30:37,1.1065282821655271,85.4,78.6,0.5532641410827637,100.0,9.037274655492345,0.0
DDoS,2025-05-13,14:30:38,1.631870985031128,50.9,78.1,0.815935492515564,100.0,6.127935413845997,0.0
DDoS,2025-05-13,14:30:39,2.1308629512786865,68.5,78.3,1.0654314756393433,100.0,4.692934378533921,0.0
Normal,2025-05-13,14:30:39,1.4833157062530518,60.0,78.4,0.7416578531265259,0.0,67.41653147636808,100.0
DDoS,2025-05-13,14:30:40,0.8457229137420654,41.2,78.4,0.4228614568710327,100.0,11.824203693090276,0.0
Normal,2025-05-13,14:30:40,1.6302964687347412,90.0,78.9,0.8151482343673706,0.0,61.33853683533346,100.0
Normal,2025-05-13,14:30:40,1.301905870437622,89.7,78.9,0.650952935218811,0.0,76.81046861428318,100.0
DDoS,2025-05-13,14:30:41,1.3032658100128174,100.0,79.0,0.6516329050064087,100.0,7.673031796868554,0.0
Normal,2025-05-13,14:30:42,1.353773593902588,59.2,78.8,0.676886796951294,0.0,73.86759532790502,100.0
Normal,2025-05-13,14:30:42,1.3678410053253174,62.5,78.9,0.6839205026626587,0.0,73.10791211162494,100.0
DDoS,2025-05-13,14:30:43,1.4838626384735107,67.2,79.2,0.7419313192367554,100.0,6.739168263099654,0.0
DDoS,2025-05-13,14:30:44,1.4486947059631348,77.1,79.5,0.7243473529815674,100.0,6.902765612960328,0.0
DDoS,2025-05-13,14:30:44,1.4631762504577637,32.7,79.2,0.7315881252288818,100.0,6.834446634075313,0.0
Normal,2025-05-13,14:30:44,1.4160339832305908,30.0,79.3,0.7080169916152954,0.0,70.61977409034803,100.0
DDoS,2025-05-13,14:30:45,1.3945281505584717,66.1,79.4,0.6972640752792358,100.0,7.170884285122006,0.0
Normal,2025-05-13,14:30:46,1.578833818435669,89.5,79.1,0.7894169092178345,0.0,63.33788827698245,100.0
Normal,2025-05-13,14:30:46,1.586543083190918,89.8,79.1,0.793271541595459,0.0,63.03011942094636,100.0
DDoS,2025-05-13,14:30:47,1.7192857265472412,23.9,79.0,0.8596428632736206,100.0,5.816368882490823,0.0
Normal,2025-05-13,14:30:48,1.3247060775756836,64.9,79.0,0.6623530387878418,0.0,75.48844358214758,100.0
Normal,2025-05-13,14:30:48,1.333822250366211,64.9,79.0,0.6669111251831055,0.0,74.97250849769844,100.0
DDoS,2025-05-13,14:30:48,1.1981468200683594,55.8,79.2,0.5990734100341797,100.0,8.346222543435417,0.0
DDoS,2025-05-13,14:30:49,1.3167753219604492,100.0,79.7,0.6583876609802246,100.0,7.594310003556067,0.0
Normal,2025-05-13,14:30:50,1.2549550533294678,96.5,79.6,0.6274775266647339,0.0,79.6841287141673,100.0
DDoS,2025-05-13,14:30:50,1.3149044513702393,96.5,79.6,0.6574522256851196,100.0,7.6051153295428975,0.0
DDoS,2025-05-13,14:30:50,1.242414951324463,100.0,80.2,0.6212074756622314,100.0,8.048840678663444,0.0
Normal,2025-05-13,14:30:51,0.89910888671875,100.0,80.7,0.449554443359375,0.0,111.22123413210235,100.0
Normal,2025-05-13,14:30:52,1.599532127380371,89.6,81.2,0.7997660636901855,0.0,62.51828162012269,100.0
DDoS,2025-05-13,14:30:52,1.277008056640625,89.6,81.7,0.6385040283203125,100.0,7.830804158202891,0.0
Normal,2025-05-13,14:30:53,0.986302375793457,46.4,81.3,0.4931511878967285,0.0,101.38878548229428,100.0
Normal,2025-05-13,14:30:54,1.5479843616485596,100.0,81.7,0.7739921808242798,0.0,64.6001358137125,100.0
DDoS,2025-05-13,14:30:54,1.3857684135437012,92.0,81.1,0.6928842067718506,100.0,7.216212970555374,0.0
DDoS,2025-05-13,14:30:54,1.054152011871338,100.0,81.2,0.527076005935669,100.0,9.486297884351549,0.0
DDoS,2025-05-13,14:30:55,1.3762683868408203,96.4,81.0,0.6881341934204102,100.0,7.266024632706036,0.0
Normal,2025-05-13,14:30:55,1.4219293594360352,78.6,81.1,0.7109646797180176,0.0,70.32698167204448,100.0
DDoS,2025-05-13,14:30:56,1.289595127105713,87.7,81.0,0.6447975635528564,100.0,7.754371732501331,0.0
Normal,2025-05-13,14:30:57,0.9916064739227296,88.3,80.4,0.4958032369613647,0.0,100.8464573697332,100.0
Normal,2025-05-13,14:30:58,1.5467572212219238,75.5,80.7,0.7733786106109619,0.0,64.65138719119794,100.0
DDoS,2025-05-13,14:30:58,1.5548982620239258,67.3,80.7,0.7774491310119629,100.0,6.431288942971452,0.0
Normal,2025-05-13,14:30:59,1.1987175941467283,76.5,81.4,0.5993587970733643,0.0,83.42248456875451,100.0
Normal,2025-05-13,14:31:00,1.5096101760864258,73.7,80.9,0.7548050880432129,0.0,66.24226676799704,100.0
DDoS,2025-05-13,14:31:00,2.0776963233947754,58.3,80.7,1.0388481616973877,100.0,4.813022907823636,0.0
DDoS,2025-05-13,14:31:00,2.3621346950531006,57.1,80.7,1.1810673475265503,100.0,4.2334588374416136,0.0
DDoS,2025-05-13,14:31:01,1.725088119506836,80.0,80.7,0.862544059753418,100.0,5.796805326593273,0.0
Normal,2025-05-13,14:31:02,2.220480442047119,100.0,81.0,1.1102402210235596,0.0,45.035298715717296,100.0
DDoS,2025-05-13,14:31:03,2.912590742111206,91.2,81.2,1.456295371055603,100.0,3.433369424484076,0.0
Normal,2025-05-13,14:31:03,2.141717433929444,91.2,81.0,1.0708587169647217,0.0,46.69150020249328,100.0
DDoS,2025-05-13,14:31:04,1.8973963260650637,87.5,80.8,0.9486981630325316,100.0,5.270380185007848,0.0
